Date,Open,High,Low,Close
2024-10-31,151.98000,153.00200,151.83501,151.98000
2024-10-30,153.20399,153.55600,151.92200,153.20399
2024-10-29,153.27400,153.47200,152.80000,153.27400
2024-10-28,153.17900,153.84000,152.76800,153.17900
2024-10-27,152.95200,153.86800,152.42101,152.95200
2024-10-24,151.78301,152.14000,151.49400,151.78301
2024-10-23,152.76900,152.76800,151.78400,152.76900
2024-10-22,151.13800,153.16499,151.15199,151.13800
2024-10-21,150.60500,151.12900,150.51800,150.60500
2024-10-20,149.60001,150.48700,149.09599,149.60001
2024-10-17,150.10001,150.13901,149.51500,150.10001
2024-10-16,149.57600,150.13800,149.25700,149.57600
2024-10-15,149.09900,149.73500,148.92999,149.09900
2024-10-14,149.67000,149.74000,148.85300,149.67000
2024-10-13,149.33400,149.94900,149.14600,149.33400
2024-10-10,148.70399,149.26300,148.39900,148.70399
2024-10-09,149.16000,149.53000,148.41800,149.16000
2024-10-08,148.15900,149.25800,148.02499,148.15900
2024-10-07,148.14600,148.35100,147.38800,148.14600
2024-10-06,148.82001,148.78799,147.86301,148.82001
2024-10-03,146.84000,148.73801,145.94200,146.84000
2024-10-02,146.58200,147.21001,146.33299,146.58200
2024-10-01,143.73599,146.25200,143.53200,143.73599
2024-09-30,143.71001,144.49600,143.02300,143.71001
2024-09-29,142.78301,143.35600,141.64700,142.78301
2024-09-26,145.07600,146.46201,142.45399,145.07600
2024-09-25,144.68300,145.18800,144.11700,144.68300
2024-09-24,142.96300,144.58800,142.93600,142.96300
2024-09-23,143.63800,144.66499,143.41200,143.63800
2024-09-22,144.00400,144.43900,143.19600,144.00400
2024-09-19,142.85800,144.47600,141.76300,142.85800
2024-09-18,142.71001,143.93500,142.06500,142.71001
2024-09-17,142.01500,142.05100,141.24400,142.01500
2024-09-16,140.78999,141.85001,140.32300,140.78999
2024-09-15,140.78999,140.89900,139.57800,140.78999
2024-09-12,141.49899,141.52699,140.36200,141.49899
2024-09-11,142.59000,143.01100,141.91299,142.59000
2024-09-10,142.23399,142.46800,140.71800,142.23399
2024-09-09,143.17700,143.67500,142.26199,143.17700
2024-09-08,142.48599,143.78600,142.44501,142.48599
2024-09-05,143.39300,143.84801,141.76500,143.39300
2024-09-04,143.32400,144.20399,142.85400,143.32400
2024-09-03,145.35300,145.53799,144.02699,145.35300
2024-09-02,146.72200,147.18800,145.16800,146.72200
2024-09-01,146.38100,147.11900,145.79601,146.38100
2024-08-29,144.89000,145.96201,144.70200,144.89000
2024-08-28,144.43300,145.52499,144.28301,144.43300
2024-08-27,143.97501,145.02499,143.91200,143.97501
2024-08-26,144.51601,145.15300,144.16499,144.51601
2024-08-25,144.00000,144.57899,143.46001,144.00000
2024-08-22,146.20200,146.47301,144.60500,146.20200
2024-08-21,145.11800,146.47000,144.94800,145.11800
2024-08-20,145.34700,146.33900,144.98100,145.34700
2024-08-19,146.69900,147.31900,145.53400,146.69900
2024-08-18,147.95599,147.95900,145.22099,147.95599
2024-08-15,149.22200,149.23000,147.63901,149.22200
2024-08-14,147.25301,149.26300,147.06300,147.25301
2024-08-13,146.97099,147.55200,146.08099,146.97099
2024-08-12,146.98200,147.92999,146.91100,146.98200
2024-08-11,147.04201,148.20100,146.69900,147.04201
2024-08-08,147.66901,147.73599,146.31200,147.66901
2024-08-07,146.12399,147.47501,145.47099,146.12399
2024-08-06,144.73200,147.82201,144.55400,144.73200
2024-08-05,145.78999,146.25700,144.06300,145.78999
2024-08-04,145.58400,145.91800,141.69701,145.58400
2024-08-01,149.20100,149.76401,146.42400,149.20100
2024-07-31,149.74400,150.85700,148.50501,149.74400
2024-07-30,152.67000,153.58099,149.66400,152.67000
2024-07-29,153.83299,155.19000,153.65601,153.83299
2024-07-28,154.13901,154.33701,153.06300,154.13901
2024-07-25,153.69701,154.73100,153.26199,153.69701
2024-07-24,153.89101,154.15100,151.96699,153.89101
2024-07-23,155.76800,155.97700,153.11099,155.76800
2024-07-22,156.89101,156.90300,155.82899,156.89101
2024-07-21,157.42200,157.60500,156.29900,157.42200
2024-07-18,157.14999,157.85500,156.97800,157.14999
2024-07-17,155.68600,156.98500,155.49699,155.68600
2024-07-16,158.35001,158.57800,156.11999,158.35001
2024-07-15,158.14101,158.84100,158.11301,158.14101
2024-07-14,158.31300,158.35800,157.75400,158.31300
2024-07-11,158.20100,159.37601,157.37900,158.20100
2024-07-10,161.60700,161.74699,157.48900,161.60700
2024-07-09,161.33099,161.74000,161.30000,161.33099
2024-07-08,160.85700,161.49499,160.74699,160.85700
2024-07-07,160.63800,161.10700,160.27200,160.63800
2024-07-04,161.35800,161.37199,160.44600,161.35800
2024-07-03,161.62100,161.58600,160.95500,161.62100
2024-07-02,161.50400,161.94200,160.86500,161.50400
2024-07-01,161.51199,161.73000,161.28500,161.51199
2024-06-30,160.90700,161.71500,160.81900,160.90700
2024-06-27,160.68700,161.24100,160.27699,160.68700
2024-06-26,160.62100,160.72400,160.31400,160.62100
2024-06-25,159.68600,160.80299,159.66299,159.68600
2024-06-24,159.68600,159.75000,159.25301,159.68600
2024-06-23,159.86099,159.91299,159.01800,159.86099
2024-06-20,158.93100,159.60800,158.68600,158.93100
2024-06-19,157.95799,158.77200,157.95599,157.95799
2024-06-18,157.87100,157.94501,157.61301,157.87100
2024-06-17,157.70000,158.22800,157.52499,157.70000
2024-06-16,157.54601,157.95200,157.17000,157.54601
2024-06-13,157.12801,158.24699,156.89999,157.12801
2024-06-12,156.80000,157.30000,156.57700,156.80000
2024-06-11,157.10500,157.36500,155.72900,157.10500
2024-06-10,157.03999,157.38800,156.81100,157.03999
2024-06-09,156.83299,157.18600,156.72301,156.83299
2024-06-06,155.69701,157.06700,155.14200,155.69701
2024-06-05,155.92900,156.39600,155.40700,155.92900
2024-06-04,155.12399,156.47301,155.11099,155.12399
2024-06-03,156.07600,156.47900,154.60100,156.07600
2024-06-02,157.17999,157.45100,155.97099,157.17999
2024-05-30,156.95300,157.36200,156.57001,156.95300
2024-05-29,157.60800,157.62700,156.42700,157.60800
2024-05-28,157.26199,157.63901,157.02200,157.26199
2024-05-27,156.84500,156.98900,156.61200,156.84500
2024-05-26,156.86999,156.95500,156.67799,156.86999
2024-05-23,156.97301,157.13699,156.86800,156.97301
2024-05-22,156.70399,157.16299,156.52901,156.70399
2024-05-21,156.25101,156.60500,156.14700,156.25101
2024-05-20,156.36999,156.52400,155.87199,156.36999
2024-05-19,155.75400,156.21899,155.51401,155.75400
2024-05-16,155.37900,155.97501,155.27100,155.37900
2024-05-15,154.28200,155.51601,153.59000,154.28200
2024-05-14,156.49800,156.55299,154.75900,156.49800
2024-05-13,156.23300,156.67101,156.22700,156.23300
2024-05-12,155.81799,156.21001,155.59599,155.81799
2024-05-09,155.38901,155.88600,155.38100,155.38901
2024-05-08,155.41901,155.94701,155.22600,155.41901
2024-05-07,154.74800,155.64999,154.69400,154.74800
2024-05-06,154.23700,154.64000,153.89400,154.23700
2024-05-05,153.56599,154.00501,153.32100,153.56599
2024-05-02,153.04500,153.41000,151.88100,153.04500
2024-05-01,155.70399,156.25101,153.49499,155.70399
2024-04-30,157.72200,157.98200,157.42101,157.72200
2024-04-29,156.31400,157.55600,156.20399,156.31400
2024-04-28,158.22400,159.96100,154.54900,158.22400
2024-04-25,155.59700,157.66600,155.47900,155.59700
2024-04-24,155.25900,155.73599,155.25900,155.25900
2024-04-23,154.74400,155.13001,154.74000,154.74400
2024-04-22,154.81300,154.87100,154.59399,154.81300
2024-04-21,154.62900,154.78400,154.58701,154.64000
2024-04-18,154.61000,154.66100,153.61800,154.61000
2024-04-17,154.34199,154.64101,153.98500,154.34199
2024-04-16,154.69800,154.72700,154.46100,154.69800
2024-04-15,154.20599,154.76100,154.14999,154.20599
2024-04-14,153.28301,154.43600,153.28500,153.28301
2024-04-11,153.19200,153.37700,152.61700,153.19200
2024-04-10,152.96400,153.30901,152.76700,152.96400
2024-04-09,151.77699,152.92600,151.68300,151.77699
2024-04-08,151.84300,151.92799,151.57899,151.84300
2024-04-07,151.69000,151.93201,151.67700,151.69000
2024-04-04,151.29201,151.74300,150.85400,151.29201
2024-04-03,151.58099,151.76300,151.51199,151.58099
2024-04-02,151.53999,151.94701,151.45900,151.53999
2024-04-01,151.58099,151.78700,151.47700,151.58099
2024-03-31,151.39800,151.75400,151.25800,151.39800
2024-03-28,151.44000,151.48900,151.16901,151.44000
2024-03-27,151.28700,151.53900,151.15199,151.28700
2024-03-26,151.53000,151.94400,151.03799,151.53000
2024-03-25,151.37300,151.59100,151.21899,151.37300
2024-03-24,151.30499,151.42999,151.05701,151.30499
2024-03-21,151.63300,151.84599,151.02600,151.63300
2024-03-20,150.76000,151.65199,150.27600,150.76000
2024-03-19,151.03500,151.79100,151.01601,151.03500
2024-03-18,149.14400,150.83900,149.11700,149.14400
2024-03-17,148.95500,149.32100,148.92900,148.95500
2024-03-14,148.29601,149.15801,148.05701,148.29601
2024-03-13,147.62100,148.30299,147.50900,147.62100
2024-03-12,147.61900,148.03101,147.25200,147.61900
2024-03-11,146.73200,147.95599,146.64500,146.73200
2024-03-10,146.77400,147.12500,146.49499,146.77400
2024-03-07,147.86800,148.10001,146.50400,147.86800
2024-03-06,149.26900,149.25900,147.58299,149.26900
2024-03-05,150.04900,150.07600,149.13901,150.04900
2024-03-04,150.46600,150.54201,149.73300,150.46600
2024-03-03,150.10500,150.56599,149.84399,150.10500
2024-02-29,150.09500,150.69800,150.06900,150.09500
2024-02-28,150.65601,150.64101,149.21500,150.65601
2024-02-27,150.49499,150.83701,150.37300,150.49499
2024-02-26,150.56599,150.60001,150.12801,150.56599
2024-02-25,150.49699,150.81400,150.29601,150.49800
2024-02-22,150.48300,150.76199,150.30600,150.48300
2024-02-21,150.35500,150.63901,150.01601,150.35500
2024-02-20,149.93900,150.29500,149.85700,149.93900
2024-02-19,150.27000,150.43401,149.69800,150.27000
2024-02-18,150.13901,150.18700,149.88300,150.09100
2024-02-15,149.94600,150.63699,149.92999,149.94600
2024-02-14,150.54401,150.55901,149.75900,150.54401
2024-02-13,150.72400,150.77400,150.36301,150.72400
2024-02-12,149.40500,150.75400,149.28400,149.40500
2024-02-11,149.16701,149.47600,148.93201,149.16701
2024-02-08,149.25900,149.57100,149.05901,149.25900
2024-02-07,148.08600,149.47400,147.93500,148.08600
2024-02-06,147.81799,148.24499,147.66299,147.81799
2024-02-05,148.64000,148.78301,148.00600,148.64000
2024-02-04,148.50101,148.88001,148.28000,148.50101
2024-02-01,146.45100,148.56200,146.24800,146.45100
2024-01-31,146.99600,147.10899,145.92101,146.99600
2024-01-30,147.36900,147.89000,146.08200,147.36900
2024-01-29,147.46800,147.90199,147.11000,147.46800
2024-01-28,148.14000,148.32201,147.60600,148.14000
2024-01-25,147.72301,148.13901,147.50900,147.72301
2024-01-24,147.59100,147.85800,147.10899,147.59100
2024-01-23,148.25101,148.23801,146.67600,148.25101
2024-01-22,148.14200,148.58000,147.04300,148.14200
2024-01-21,148.12100,148.27600,147.64101,148.12100
2024-01-18,148.12801,148.78101,147.85001,148.12801
2024-01-17,148.11800,148.29800,147.66701,148.11800
2024-01-16,147.24600,148.50200,147.12700,147.24600
2024-01-15,145.79401,147.16400,145.59100,145.79401
2024-01-14,145.14900,145.93401,145.09700,145.14900
2024-01-11,145.04601,145.51100,144.36900,145.04601
2024-01-10,145.73399,146.35899,145.27901,145.73399
2024-01-09,144.42799,145.81000,144.43900,144.42799
2024-01-08,144.23000,144.43201,143.45300,144.23000
2024-01-07,144.71600,144.79300,143.67000,144.71600
2024-01-04,144.76500,145.95799,143.84801,144.76500
2024-01-03,142.99899,144.83200,142.86800,142.99899
2024-01-02,142.15500,143.69299,141.86900,142.15500
2024-01-01,141.12601,142.18600,141.10700,141.12601
2023-12-31,140.95200,141.02499,140.95200,140.95200
2023-12-28,141.42999,141.89900,140.82899,141.42999
2023-12-27,141.39900,141.65199,140.28999,141.39900
2023-12-26,142.46100,142.83200,141.85800,142.46100
2023-12-25,142.23000,142.61999,142.10800,142.23000
2023-12-24,142.34199,142.48000,142.13901,142.34199
2023-12-21,142.07001,142.64600,141.88400,142.07001
2023-12-20,143.52300,143.54900,142.06000,143.52300
2023-12-19,143.88901,144.06300,143.30200,143.88901
2023-12-18,142.72200,144.93500,142.26300,142.72200
2023-12-17,142.31300,143.12700,142.07600,142.31300
2023-12-14,142.27901,142.44701,141.47000,142.27901
2023-12-13,142.77300,142.87300,141.04401,142.77300
2023-12-12,145.28000,145.97700,145.06200,145.28000
2023-12-11,146.08501,146.11600,144.81500,146.08501
2023-12-10,144.98300,146.55299,144.90300,144.98300
2023-12-07,144.27800,145.14800,142.52300,144.27800
2023-12-06,147.18401,147.18100,143.85700,147.18401
2023-12-05,147.18500,147.48700,146.90500,147.18500
2023-12-04,147.32700,147.36999,146.59399,147.32700
2023-12-03,146.39300,147.22301,146.25400,146.39300
2023-11-30,147.99899,148.31400,146.85100,147.99899
2023-11-29,147.03900,148.46001,146.88600,147.03900
2023-11-28,147.06300,147.88800,146.69900,147.06300
2023-11-27,148.45200,148.79601,147.39999,148.45200
2023-11-26,149.57100,149.65300,148.67400,149.57100
2023-11-23,149.63500,149.69900,149.20100,149.63500
2023-11-22,149.46001,149.68700,148.88800,149.46001
2023-11-21,148.15199,149.74400,148.09399,148.15199
2023-11-20,148.36200,148.41701,147.16901,148.36200
2023-11-19,149.94200,149.96899,148.10899,149.94200
2023-11-16,150.70500,150.76900,149.21500,150.70500
2023-11-15,151.21500,151.42101,150.29700,151.21500
2023-11-14,150.48500,151.23200,150.26000,150.48500
2023-11-13,151.64600,151.77499,150.69701,151.64600
2023-11-12,151.46899,151.90300,151.24000,151.46899
2023-11-09,151.34900,151.55901,151.22501,151.34900
2023-11-08,150.86400,151.17600,150.79800,150.86400
2023-11-07,150.39600,150.98200,150.34599,150.39600
2023-11-06,149.98900,150.68700,149.96899,149.98900
2023-11-05,149.44900,149.83000,149.38200,149.44900
2023-11-02,150.49699,150.49300,149.25900,150.49699
