Date,Open,High,Low,Close,SMA,RSI,Volume
2024-11-14,155.38300,156.24200,155.38100,155.95700,N/A,N/A,N/A
2024-11-13,155.41901,155.94400,155.31500,155.86301,151.2831,69.2475,N/A
2024-11-12,154.65500,155.29201,154.35001,154.65500,150.9737,65.7785,N/A
2024-11-11,153.48000,154.76000,153.41100,153.48000,150.6097,61.9035,N/A
2024-11-10,152.90401,153.94400,152.86999,152.90401,150.2841,59.8332,N/A
2024-11-07,153.17999,153.35300,152.17101,153.17999,149.9467,61.3158,N/A
2024-11-06,154.32001,154.70200,152.86099,154.32001,149.6766,67.7552,N/A
2024-11-05,151.43500,154.64999,151.34300,151.43500,149.3553,57.1902,N/A
2024-11-04,152.27600,152.53101,151.79601,152.27600,149.0729,62.7560,N/A
2024-11-03,152.28700,152.28500,151.55100,152.28700,148.7850,62.8303,N/A
2024-10-31,151.98000,153.00200,151.83501,151.98000,148.5089,61.6543,N/A
2024-10-30,153.20399,153.55600,151.92200,153.20399,148.2048,69.8342,N/A
2024-10-29,153.27400,153.47200,152.80000,153.27400,147.8550,70.3298,N/A
2024-10-28,153.17900,153.84000,152.76800,153.17900,147.4797,70.0620,N/A
2024-10-27,152.95200,153.86800,152.42101,152.95200,147.0668,69.4505,N/A
2024-10-24,151.78301,152.14000,151.49400,151.78301,146.6614,66.1431,N/A
2024-10-23,152.76900,152.76800,151.78400,152.76900,146.3186,72.2711,N/A
2024-10-22,151.13800,153.16499,151.15199,151.13800,145.9793,67.6703,N/A
2024-10-21,150.60500,151.12900,150.51800,150.60500,145.6825,65.9563,N/A
2024-10-20,149.60001,150.48700,149.09599,149.60001,145.4349,62.4728,N/A
2024-10-17,150.10001,150.13901,149.51500,150.10001,145.1977,65.5725,N/A
2024-10-16,149.57600,150.13800,149.25700,149.57600,144.9742,63.8258,N/A
2024-10-15,149.09900,149.73500,148.92999,149.09900,144.7658,62.2050,N/A
2024-10-14,149.67000,149.74000,148.85300,149.67000,144.6409,65.4655,N/A
2024-10-13,149.33400,149.94900,149.14600,149.33400,144.5426,64.4473,N/A
2024-10-10,148.70399,149.26300,148.39900,148.70399,144.4442,62.5234,N/A
2024-10-09,149.16000,149.53000,148.41800,149.16000,144.3171,64.8832,N/A
2024-10-08,148.15900,149.25800,148.02499,148.15900,144.1595,61.9563,N/A
2024-10-07,148.14600,148.35100,147.38800,148.14600,144.0200,61.9181,N/A
2024-10-06,148.82001,148.78799,147.86301,148.82001,143.8990,65.0699,N/A
2024-10-03,146.84000,148.73801,145.94200,146.84000,143.7384,59.4376,N/A
2024-10-02,146.58200,147.21001,146.33299,146.58200,143.7171,58.6305,N/A
2024-10-01,143.73599,146.25200,143.53200,143.73599,143.6683,48.0400,N/A
2024-09-30,143.71001,144.49600,143.02300,143.71001,143.7220,47.9269,N/A
2024-09-29,142.78301,143.35600,141.64700,142.78301,143.8216,43.8836,N/A
2024-09-26,145.07600,146.46201,142.45399,145.07600,143.9941,53.4090,N/A
2024-09-25,144.68300,145.18800,144.11700,144.68300,144.1323,51.7419,N/A
2024-09-24,142.96300,144.58800,142.93600,142.96300,144.2179,43.5304,N/A
