Date,Exchange Rate
2014/11/11,115.721
2014/11/12,115.57
2014/11/13,115.824
2014/11/16,116.896
2014/11/17,116.646
2014/11/18,116.869
2014/11/19,118.148
2014/11/20,118.236
2014/11/23,117.744
2014/11/24,118.454
2014/11/25,117.801
2014/11/26,117.63
2014/11/27,117.84
2014/11/30,118.864
2014/12/1,118.308
2014/12/2,119.194
2014/12/3,119.861
2014/12/4,119.812
2014/12/7,121.561
2014/12/8,120.65
2014/12/9,119.342
2014/12/10,117.709
2014/12/11,119.007
2014/12/14,118.165
2014/12/15,117.741
2014/12/16,116.613
2014/12/17,118.796
2014/12/18,118.938
2014/12/21,119.497
2014/12/22,120.15
2014/12/23,120.69
2014/12/24,120.459
2014/12/25,120.37
2014/12/28,120.424
2014/12/29,120.632
2014/12/30,119.458
2014/12/31,119.673
2015/1/1,119.87
2015/1/4,120.434
2015/1/5,119.425
2015/1/6,118.673
2015/1/7,119.289
2015/1/8,119.792
2015/1/11,118.212
2015/1/12,118.328
2015/1/13,117.795
2015/1/14,117.39
2015/1/15,116.13
2015/1/18,117.56
2015/1/19,117.712
2015/1/20,118.649
2015/1/21,117.86
2015/1/22,118.751
2015/1/25,117.361
2015/1/26,118.52
2015/1/27,117.775
2015/1/28,117.592
2015/1/29,118.248
2015/2/1,117.184
2015/2/2,117.575
2015/2/3,117.646
2015/2/4,117.288
2015/2/5,117.535
2015/2/8,118.97
2015/2/9,118.563
2015/2/10,119.358
2015/2/11,120.17
2015/2/12,118.916
2015/2/15,118.57
2015/2/16,118.492
2015/2/17,119.208
2015/2/18,118.689
2015/2/19,118.988
2015/2/22,119.076
2015/2/23,118.903
2015/2/24,118.892
2015/2/25,118.822
2015/2/26,119.377
2015/3/1,119.826
2015/3/2,120.204
2015/3/3,119.637
2015/3/4,119.651
2015/3/5,120.045
2015/3/8,120.739
2015/3/9,121.408
2015/3/10,121.038
2015/3/11,121.411
2015/3/12,121.318
2015/3/15,121.343
2015/3/16,121.367
2015/3/17,121.28
2015/3/18,120.064
2015/3/19,120.762
2015/3/22,120.027
2015/3/23,119.75
2015/3/24,119.791
2015/3/25,119.518
2015/3/26,119.183
2015/3/29,119.25
2015/3/30,120.013
2015/3/31,120.022
2015/4/1,119.574
2015/4/2,119.697
2015/4/5,118.823
2015/4/6,119.477
2015/4/7,120.29
2015/4/8,120.094
2015/4/9,120.55
2015/4/12,120.209
2015/4/13,120.059
2015/4/14,119.457
2015/4/15,119.143
2015/4/16,119.044
2015/4/19,118.818
2015/4/20,119.195
2015/4/21,119.633
2015/4/22,119.95
2015/4/23,119.571
2015/4/26,118.927
2015/4/27,119.126
2015/4/28,118.823
2015/4/29,118.97
2015/4/30,119.452
2015/5/3,120.136
2015/5/4,120.1
2015/5/5,119.922
2015/5/6,119.397
2015/5/7,119.709
2015/5/10,119.78
2015/5/11,120.131
2015/5/12,119.835
2015/5/13,119.16
2015/5/14,119.191
2015/5/17,119.33
2015/5/18,119.9
2015/5/19,120.652
2015/5/20,121.212
2015/5/21,121.039
2015/5/24,121.571
2015/5/25,121.6
2015/5/26,122.986
2015/5/27,123.74
2015/5/28,123.82
2015/5/31,124.193
2015/6/1,124.847
2015/6/2,124.036
2015/6/3,124.304
2015/6/4,124.38
2015/6/7,125.629
2015/6/8,124.563
